Type Code,Type,Sub-Type Code,Sub-Type,Category ID,Relevant Style Dimensions
AC,Accesories,1,Belts,52,"Pattern, Accents, Materials, Occasion, Closures"
AC,Accesories,2,Eyewear,4426,"Pattern, Accents, Materials, Occasion, FrameStyle"
AC,Accesories,3,Eyeglasses,4428,"Pattern, Accents, Materials, Occasion, FrameStyle"
AC,Accesories,4,Sunglasses,57,"Pattern, Accents, Materials, Occasion, FrameStyle"
AC,Accesories,5,Gloves,53,"Pattern, Accents, Materials, Occasion"
AC,Accesories,6,Hair Accessories,58,"Pattern, Accents, Materials, Occasion"
AC,Accesories,7,Hats,55,"Pattern, Accents, Materials, Occasion, HatStyle"
AC,Accesories,8,Scarves,105,"Pattern, Accents, Materials, Occasion"
AC,Accesories,9,Nail Polish,222,Occasion
AC,Accesories,0,Other Accesories,,
AV,Activewear,1,Activewear Jackets,256,"Pattern, Accents, Materials, Occasion, JacketStyle"
AV,Activewear,2,Activewear Pants,253,"Pattern, Accents, Materials, Occasion, PantStyle"
AV,Activewear,3,Activewear Shorts,255,"Pattern, Accents, Materials, Occasion, ShortStyle"
AV,Activewear,4,Activewear Skirts,254,"Pattern, Accents, Materials, Occasion, SkirtStyle"
AV,Activewear,5,Sports Bras,257,"Pattern, Accents, Materials, Occasion"
AV,Activewear,6,Activewear Tank Tops,309,"Pattern, Accents, Materials, Occasion, TopStyle"
AV,Activewear,7,Activewear Tops,252,"Pattern, Accents, Materials, Occasion, TopStyle"
AV,Activewear,0,Other Activewear,33,"Pattern, Accents, Materials, Occasion"
JM,Jumpers,1,Jumpsuites,243,"Pattern, Accents, Materials, Occasion"
JM,Jumpers,2,Rompers,244,"Pattern, Accents, Materials, Occasion"
JM,Jumpers,0,Other Jumpsuits and Rompers,242,"Pattern, Accents, Materials, Occasion"
ST,Shorts,0,Shorts,29,"Pattern, Accents, Materials, Occasion, ShortStyle"
